id,name,address,is-24-hours,status,telephone,types
27124,Eightland Gardens ATM,"Eightland Gardens ATM,  Shop 21, G/F, Eightland Gardens, 2 On Chee Road, Tai Po, New Territories",True,open,,atm
27108,Manor Centre McDonald's ATM,"Manor Centre McDonald's ATM,  Shop Nos. 9-19, Manor Centre, No.213 Un Chau Street, Sham Shui Po, Kowloon",True,open,,atm
27109,Shatin Plaza Branch ATM,"Shatin Plaza Branch ATM, Shops 8, 13-16A, Level 1, Shatin Plaza, 21-27 Shatin Centre Street, Shatin, New Territories",True,open,,atm
27111,Tai Wai ATM,"Tai Wai ATM, G/F, 90 Tai Wai Road, G/F, 103 & 105 Chik Fuk Street, Tai Wai, New Territories",True,open,,atm
27048,Lo Wu Station ATM,"Lo Wu Station ATM,  MTR Lo Wu Station, G/F Concourse Level, Inside Shop LOW 5, Automated Teller Machine Site No. LOW ATM 3, Lo Wu, New Territories",True,open,,atm
27105,Fu Cheong Estate ATM,"Fu Cheong Estate ATM, ATM No.3, First Floor, Fu Cheong Shopping Centre, Sham Shui Po, Kowloon",True,open,,atm
27050,Lei King Wan ATM,"Lei King Wan ATM,  Shop GD40A, Site D, 45 Tai Hong Street, Lei King Wan, Sai Wan Ho, Hong Kong",True,open,,atm
27106,Fuk Wing Street ATM,"Fuk Wing Street ATM, Shop C, G/F, 90 Fuk Wing Street, Sham Shui Po, Kowloon",True,open,,atm
27068,Ma On Shan ATM,"Ma On Shan ATM,  No. 231 - 234, Level 2, Ma On Shan Plaza, Ma On Shan, Shatin, New Territories",True,open,,atm
27069,Yiu On Estate ATM,"Yiu On Estate ATM,  Shop No. ATM 1, Yiu On Shopping Centre, Yiu On Estate, Ma On Shan, Shatin, New Territories (next to Shop 106)",True,open,,atm
27070,Mei Foo Priority Banking Centre ATM,"Mei Foo Priority Banking Centre ATM,  Shops G5, G6, G7 & G9, G/F, Mei Foo Plaza, Mei Foo Sun Chuen Stage 4, Kowloon",True,open,,atm
27077,Argyle Centre Branch ATM,"Argyle Centre Branch ATM,  Shops G30 & G31, G/F, Argyle Centre Phase I, 688 Nathan Road, Kowloon, Hong Kong",True,open,,atm
27078,North Point Island Place ATM,"North Point Island Place ATM,  Shop 003, G/F, Island Place, 500 King's Road, North Point, Hong Kong",True,open,,atm
1031,Kam Tai Shopping Centre ATM,"Kam Tai Shopping Centre ATM,  G/F, Beside Shop No 103, Kam Tai Shopping Centre,Kam Tai Court, Ma On Shan, Shatin, New Territories",True,open,,atm
27080,North Point Centre ATM,"North Point Centre ATM,  Shop G2, G/F, North Point Centre, 278-288 King's Road, North Point, Hong Kong",True,open,,atm
1039,Mongkok ATM,"Mongkok ATM,  Shop B, G/F, 617-623 Nathan Road, Mongkok, Kowloon",True,open,,atm
27082,Prince Edward Road ATM,"Prince Edward Road ATM,  G/F, Bijou Apartments, 157 Prince Edward Road West, Kowloon",True,open,,atm
27083,Quarry Bay ATM,"Quarry Bay ATM, Shop G6, G/F & Shop LG1, LG/F Westlands Gardens, 1027 King's Road, Quarry Bay, Hong Kong",True,open,,atm
1054,San Po Kong ATM,"San Po Kong ATM,  Shop A, G/F, Perfect Industrial Building, 31 Tai Yau Street, San Po Kong, Kowloon",True,open,,atm
27103,Sai Kung ATM,"Sai Kung ATM,  G/F, 1, 3 & 5 Wan King Path, Sai Kung, New Territories",True,open,,atm
27038,Standard Chartered Tower ATM,"Standard Chartered Tower ATM,  Unit 5A, G/F Standard Chartered Tower, Millennium City 1, 388 Kwun Tong Road, Ngau Tau Kok, Kowloon",True,open,,atm
49,Hongkong International Terminals Limited ATM,"Hongkong International Terminals Limited ATM,  G/F, Hong Kong International Terminal, Berth 4 Kwai Chung Container Terminal, New Territories",True,open,,atm
27039,Telford Gardens ATM,"Telford Gardens ATM,  Shop P9-12, Podium Level, Telford Plaza, Telford Gardens, Tai Yip Street, Kowloon Bay, Kowloon",True,open,,atm
50,Kwai Chung ATM,"Kwai Chung ATM,  Shop A, G/F, Effort Industrial Building, 2-8 Kung Yip Street, Kwai Chung, New Territories",True,open,,atm
27023,Whampoa Estate ATM,"Whampoa Estate ATM,  Shop 6E and 7C1, Phase 4, Whampoa Estate, 52 Tak Man Street, Hung Hom, Kowloon",True,open,,atm
27041,Kai Tin Estate ATM,"Kai Tin Estate ATM,  ATM Space No. 3, 2/F Kai Tin Shopping Centre, Kai Tin Road, Lam Tin, Kowloon",True,open,,atm
27042,Hong Kong Disneyland Resort  - Disneyland Hotel ATM,"Hong Kong Disneyland Resort  - Disneyland Hotel ATM,  Disneyland Hotel, Hong Kong Disneyland Resort, Penny's Bay, Lantau Island",True,open,,atm
27025,To Kwa Wan McDonald ATM,"To Kwa Wan McDonald ATM,  35-37 To Kwa Wan Road & 31C Chi Kiang Street, G/F, To Kwa Wan, Hung Hom, Kowloon",True,open,,atm
27043,Hong Kong Disneyland Resort  - Hollywood Hotel ATM,"Hong Kong Disneyland Resort  - Hollywood Hotel ATM,  Disney's Hollywood Hotel, Hong Kong Disneyland Resort Penny's Bay, Lantau Island",True,open,,atm
27044,Hong Kong Disneyland Resort  - Team Disney Building ATM,"Hong Kong Disneyland Resort  - Team Disney Building ATM,  Team Disney Building, Hong Kong Disneyland Resort, Penny's Bay, Lantau Island",True,open,,atm
27028,Kwai Shing East Estate ATM,"Kwai Shing East Estate ATM,  Open Space facing Shop 8, G/F Kwai Shing East Shopping Centre, Kwai Shing East Estate, Kwai Chung, New Territories",True,open,,atm
27045,Hong Kong Disneyland Resort  - Ticket Office ATM,"Hong Kong Disneyland Resort  - Ticket Office ATM,  Ticket Office, Hong Kong Disneyland Resort, Penny's Bay, Lantau Island",True,open,,atm
27029,Kwai Shing West Estate ATM,"Kwai Shing West Estate ATM,  Adjacent to Shop 20 & 21, G/F Kwai Shing West Shopping Centre, Kwai Shing West Estate, Kwai Chung, New Territories",True,open,,atm
27046,Hong Kong Disneyland Resort - City Hall ATM,"Hong Kong Disneyland Resort - City Hall ATM,  City Hall, Hong Kong Disneyland Resort, Penny's Bay, Lantau Island",True,open,,atm
27030,Metroplaza ATM,"Metroplaza ATM, Shop 473B, Level 4, Metroplaza, 223 Hing Fong Road, Kwai Fong, New Territories",True,open,,atm
27047,Yat Tung Estate ATM,"Yat Tung Estate ATM,  Adjacent to Shop 23, G/F Yat Tung Shopping Centre, Yat Tung Estate, Tung Chung, Lantau Island",True,open,,atm
27033,On Yam Estate ATM,"On Yam Estate ATM,  G/F, On Yam Shopping Centre, On Yam Estate, Kwai Chung, New Territories",True,open,,atm
27034,Shek Lei Shopping Centre ATM,"Shek Lei Shopping Centre ATM,  Adjacent to Shop 238, Shek Lei Shopping Centre Phase 2, Kwai Chung, New Territories",True,open,,atm
27035,Wo Yi Hop Road ATM,"Wo Yi Hop Road ATM,  Shop 1&2, G/F, Lee Wo Bldg, 124-128 & 132 - 136 Wo Yi Hop Road, Kwai Chung, New Territories",True,open,,atm
47,Festival Walk ATM,"Festival Walk ATM,  Unit G-08, Festival Walk, 80 Tat Chee Avenue, Kowloon Tong, Kowloon",True,open,,atm
27037,Millennium City 2 ATM,"Millennium City 2 ATM,  1/F JOS Tower, Millennium City 2, 378 Kwun Tong Road, Ngau Tak Kok, Kowloon",True,open,,atm
1030,The Laguna Mall ATM,"The Laguna Mall ATM,  UG/F, The Laguna Mall, 8 Laguna Verde Avenue, Hung Hom, Kowloon",True,open,,atm
27020,Hung Hom Commercial Centre ATM,"Hung Hom Commercial Centre ATM,  Shop 33-37, G/F, Hunghom Commercial Centre, 37-39 Ma Tau Wei Road, Hung Hom, Kowloon",True,open,,atm
27022,Metropolis Mall ATM,"Metropolis Mall ATM,  Venue D, Level 7, The Metropolis Mall, No. 6 Metropolis Drive, Hung Hom, Kowloon",True,open,,atm
27058,Pier 3 Terminal (Central) ATM,"Pier 3 Terminal (Central) ATM,  Central Pier No. 3, 11 Man Kwong Street, Central, Hong Kong",True,open,,atm
33,Happy Valley ATM,"Happy Valley ATM,  G/F, 16 King Kwong Street, Happy Valley, Hong Kong",True,open,,atm
27060,Cheung Sha Wan ATM,"Cheung Sha Wan ATM,  G/F, 828 Cheung Sha Wan Road, Lai Chi Kok, Kowloon",True,open,,atm
1014,Two International Finance Centre ATM,"Two International Finance Centre ATM,  G/F, Two International Finance Centre, 8 Finance Street, Central, Hong Kong",True,open,,atm
27063,Ka Fuk Estate ATM,"Ka Fuk Estate ATM,  Open space beside shop 2 on G/f Ka Fuk Shopping Centre, Fanling, New Territories",True,open,,atm
1015,Heng Fa Chuen ATM,"Heng Fa Chuen ATM,  Kiosk 188, 1/F Paradise Mall, Heng Fa Chuen, Chai Wan, Hong Kong",True,open,,atm
27064,Regentville ATM,"Regentville ATM,  Level 1, Regentville, 8 Wo Mun Street, Luen Wo Hui, Fanling, New Territories",True,open,,atm
27065,Fo Tan ATM,"Fo Tan ATM, Bank No. 3, 5 & 10, 1/F, Shatin Galleria, 18-24 Shan Mei Street, Fo Tan, New Territories",True,open,,atm
1017,New Jade Gardens Express Banking Centre ATM,"New Jade Gardens Express Banking Centre ATM,  Shop No 101, Level 1, New Jade Shopping Arcade, New Jade Gardens, Chai Wan, Hong Kong",True,open,,atm
27066,Waterloo Road ATM,"Waterloo Road ATM, Shop A3, G/F, Pine Manor, 61-63 Waterloo Road, Mongkok, Kowloon",True,open,,atm
1023,Plaza Hollywood ATM,"Plaza Hollywood ATM,  Beside Shop 102, Level 1, Plaza Hollywood, Diamond Hill, Kowloon",True,open,,atm
1024,Avon Park ATM,"Avon Park ATM,  UG/F Avon Park, 15 Yat Ming Road, Fanling, New Territories",True,open,,atm
1001,Tak Tin Estate ATM,"Tak Tin Estate ATM,  1/F Tak Tin Shopping Centre, Tak Tin Estate Lam Tin, Kowloon",True,open,,atm
