ACOP,ATM,ATMFCM,ATMRMB,Address,CDM,CHQ,CHQCUT,CS,Code,Disable,HourAMB,HourRemark,HourSat,HourSun,HourWeekdays,Name,Outlet,SDB,SEC,SubDistrict,WM
False,True,False,True,"West Kowloon Station, basement 2 arrival concourse",True,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,Hong Kong West Kowloon Station,,False,False,K01,False
False,True,False,True,MTR Austin Station (near Exit B3),True,False,,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Austin Station,,False,False,K01,False
False,True,False,False,MTR  Olympic Station  (near Exit B)<br/>MTR Olympic Station (near Exit E) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Olympic Station,,False,False,K01,False
False,True,False,True,MTR Shek Kip Mei Station (near Exit B)<br/>MTR Shek Kip Mei Station (near Exit C) (With Voice Navigation ATM),True,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Shek Kip Mei Station,,False,False,K02,False
False,True,False,True,Main Entrance of Ancillary Facilities Block of Shek Kip Mei Estate (With Voice Navigation ATM),False,False,N,False,NA,True,24-hours,,,,,Shek Kip Mei Estate,,False,False,K02,False
False,True,False,False,MTR Sham Shui Po Station (Exit A) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Sham Shui Po Station,,False,False,K02,False
True,True,False,False,151 Pei Ho Street,True,True,5:00pm,True,329,False,"ATM & Cash Deposit Machine : 24-hours <br/> Cheque Deposit Machine : 09:00 - 17:00 (Mon. - Fri.) , 09:00 - 13:00 (Sat.)",Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Pei Ho Street Branch,BR,True,False,K02,True
False,True,False,True,"Shop No.1, G/F, Heya Aqua, 397 Un Chau Street, Cheung Sha Wan (With Voice Navigation ATM)",True,True,5:30pm,False,NA,True,24 Hours,,,,,Un Chau Street Automated Banking Centre,,False,False,K02,False
True,True,False,False,"Shop M02, Cheung Sha Wan Plaza",True,True,5:00pm,True,368,True,"09:00 - 17:00 (Mon. - Fri.) , 09:00 - 13:00 (Sat.)",Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management,09:00 - 13:00,,09:00 - 17:00,Cheung Sha Wan Plaza Branch,BR,False,False,K02,True
False,True,False,False,MTR Cheung Sha Wan Station (near Exit A),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Cheung Sha Wan Station,,False,False,K02,False
False,True,False,False,"17 Cheung Shun Street, Cheung Sha Wan",True,False,N,False,NA,True,Subject to Mall Opening Hours,,,,,The Maxim's Centre,,False,False,K02,False
False,True,False,False,MTR Lai Chi Kok Station (near Exit A),False,False,N,True,322,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),Counter Service,10:00 - 14:00,,10:00 - 18:00,MTR Lai Chi Kok Station (MTR Station Office),MTR,False,False,K02,False
False,True,False,True,MTR Lai Chi Kok Station (near Exit D) (With Voice Navigation ATM),False,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Lai Chi Kok Station,,False,False,K02,False
False,True,False,False,MTR Mei Foo Station (near Exit B) (With Voice Navigation ATM)<br/>MTR Mei Foo Station (West Rail Line paid concourse),True,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Mei Foo Station,,False,False,K02,False
True,True,False,False,10 Nassau Street,True,True,5:30pm,True,254,True,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service / Wealth Management,09:00 - 13:00,,09:00 - 17:00,Mei Foo Sun Chuen (Nassau Street) Branch,BR,False,False,K02,True
False,True,False,False,MTR Nam Cheong Station (near Exit D)<br/>MTR Nam Cheong Station (paid concourse) (With Voice Navigation ATM),True,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Nam Cheong Station,,False,False,K02,False
False,True,False,True,MTR Kowloon Tong Station  (near Exit E)<br/>MTR Kowloon Tong Station  (East Rail Line near Exit H)<br/>MTR Kowloon Tong Station  (paid concourse near Exit C)<br/>MTR MTR Kowloon Tong Station (paid concourse) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Kowloon Tong Station,,False,False,K03,False
True,True,False,True,"Level 3, Academic Building, City University of HK",True,True,5:30pm,True,359,True,24 Hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management,,,09:00 - 17:00,City University Branch,BR,False,False,K03,True
False,True,False,False,"4/F, Amenities Building, City University of Hong Kong",False,False,N,False,NA,True,24-hours,,,,,City University,,False,False,K03,False
